istat,comune,lng,lat,join_OBJECTID_1,join_objectid,join_tipo_costa,join_descrizion,join_litologia,join_nome,join_id_interve,join_anno_costr,join_annodismis,join_dim_opera,join_dim_opera_,join_spaz_opera,join_dist_riva,join_flag_modif,join_modifica_o,join_lung_modif,join_area_modif,join_variaz_med,join_variaz_max,join_id_sistema,join_incongruen,join_incertezza,join_acc_geomet,join_annotazion,join_cod_istat,join_nome_uf,join_dataacqort,join_oraacqorto,join_data_igm,join_resp_digit,join_shape_leng,join_globalid,join_SHAPE__Length,join_Shape_Length,distance
"78001",Acquaformosa,16.09007863,39.72177269,"14371","14326","1",Bassa,Sabbiosa, ,false,,"0",0,false,false,false,Si,Stabilità,0,0,0,"0",false,Nessuna,Nessuna,Non verificato, ,"18078015",Diamante,1998/06/02 00:00:00, ,"1958",G. Spagone,1166.18685815,{4A9923AE-77EF-4CAF-97DD-3A4577EC49FA},,1171.05712083313,22025.7919271041
"78002",Acquappesa,15.95403649,39.49462453,"10859","10765","1",Bassa,Sabbiosa, ,false,,"0",0,false,false,false,Si,Erosione,2387.5,123275.88,56.63,"120",false,Nessuna,Nessuna,Non verificato, ,"18078002",Paola,1998/06/02 00:00:00, ,"1957",G. Spagone,268.62329664,{E4BDBBF6-FFCE-444C-9DAE-04B231DD3618},,269.786274540543,0
"78003",Acri,16.38155051,39.48835683,"19871","19797","2",Opere Portuali, , ,false,,"0",0,false,false,false,No,Nessuna informazione,0,0,0,"0",false,Nessuna,Nessuna,Ottima, ,"18078044",Capo Trionto,1998/05/23 00:00:00, ,"1958",G. Spagone,6084.83713441,{EDAD1CFC-77CB-419A-930C-EA8533501D4A},,6114.82614892691,21652.5023683807
"78004",Aiello Calabro,16.16704573,39.11696903,"10851","10757","1",Bassa,Sabbiosa, ,false,,"0",0,false,false,false,Si,Erosione,2316.48,79721.66,39.42,"88",false,Nessuna,Nessuna,Mediocre, ,"18078010",Paola,1998/05/28 00:00:00, ,"1959",G. Spagone,2274.22141788,{D730BA1C-81CD-448D-AC3D-632787ED3A83},,2284.5105601225,6740.12349586505
"78005",Aieta,15.82365257,39.92835498,"8891","8858","1",Bassa,Sabbiosa, ,false,,"0",0,false,false,false,Si,Avanzamento,3858.29,158399.29,46.05,"252",false,Nessuna,Nessuna,Mediocre, ,"18078101",Praia a Mare,1998/06/02 00:00:00, ,"1959",G. Spagone,3592.46095479,{3D59E154-8A26-4C93-B864-1D63096D7B4A},,3607.15282331113,4261.54101688202
"78006",Albidona,16.47454413,39.92268533,"34986","34904","3",Sponde del fiume, , ,false,,"0",0,false,false,false,No,Nessuna informazione,0,0,0,"0",false,Nessuna,Nessuna,Non verificato, ,"18078150",Sibari,1998/06/02 00:00:00, ,"1958",G. Spagone,499.89547032,{91DC32F3-ECD5-45A8-B5C7-3566AB793D1C},,502.353658343256,6457.57262176602
"78007",Alessandria del Carretto,16.37827535,39.95853578,"33754","33685","3",Collegamento sponde del fiume, , ,false,,"0",0,false,false,false,No,Nessuna informazione,0,0,0,"0",false,Nessuna,Nessuna,Non verificato, ,"18078150",Sibari,1998/06/02 00:00:00, ,"1958",G. Spagone,145.56330984,{C1F60F59-88AC-4340-81CF-7F0EC67122F1},,146.278801490014,15506.8368290677
"78008",Altilia,16.25269561,39.13010851,"34935","34844","3",Sponde del fiume, , ,false,,"0",0,false,false,false,No,Nessuna informazione,0,0,0,"0",false,Nessuna,Nessuna,Non verificato, ,"18078010",Paola,1998/05/28 00:00:00, ,"1959",G. Spagone,835.64437841,{203D2B7C-F527-4EF0-98DB-AB120F497006},,839.429357711623,14098.0230735729
"78009",Altomonte,16.12925055,39.69820643,"8130","8002","1",Bassa,Sabbiosa, ,false,,"0",0,false,false,false,Si,Avanzamento,1018.66,32843.46,37.24,"64",false,Nessuna,Nessuna,Non verificato, ,"18078015",Diamante,1998/06/02 00:00:00, ,"1958",G. Spagone,337.20227151,{DC6B3C40-D796-4C12-984F-F657A5EB6EA7},,338.618377018154,24531.9863705412
"78010",Amantea,16.08001218,39.13287384,"16616","16460","1",Bassa,Sabbiosa, ,false,,"0",0,false,false,false,Si,Stabilità,0,0,0,"0",false,Nessuna,Nessuna,Ottima, ,"18078010",Paola,1998/05/28 00:00:00, ,"1959",G. Spagone,210.81701178,{57E93209-8E2D-4923-AD8F-447A7545BAF6},,211.766001893243,63.7243005578823
