istat,comune,lng,lat,join_OBJECTID_1,join_objectid,join_tipo_costa,join_descrizion,join_litologia,join_nome,join_id_interve,join_anno_costr,join_annodismis,join_dim_opera,join_dim_opera_,join_spaz_opera,join_dist_riva,join_flag_modif,join_modifica_o,join_lung_modif,join_area_modif,join_variaz_med,join_variaz_max,join_id_sistema,join_incongruen,join_incertezza,join_acc_geomet,join_annotazion,join_cod_istat,join_nome_uf,join_dataacqort,join_oraacqorto,join_data_igm,join_resp_digit,join_shape_leng,join_globalid,join_SHAPE__Length,join_Shape_Length,distance
"56001",Acquapendente,"11.86505396","42.74404371","32212","32045","3",Collegamento sponde del fiume, , ,"0",,"0","0","0","0","0",No,Nessuna informazione,"0","0","0","0","0",Nessuna,Nessuna,Non verificato, ,"12056035",Montalto Marina,1999/06/18 00:00:00, ,"1968",G. Spagone,"37.27779496",{F5AA4D49-0C4A-44EF-8E1D-AD81829F141A},,"37.2620930330824","50392.286901587"
"56002",Arlena di Castro,"11.82358342","42.46300273","34606","34520","3",Sponde del fiume, , ,"0",,"0","0","0","0","0",No,Nessuna informazione,"0","0","0","0","0",Nessuna,Nessuna,Non verificato, ,"12056035",Montalto Marina,1999/06/18 00:00:00, ,"1968",G. Spagone,"700.30456582",{4D508396-F1C4-40E8-B171-39937E3F975D},,"700.046228123243","22974.6232616569"
"56003",Bagnoregio,"12.09850331","42.62607501","32215","32048","3",Collegamento sponde del fiume, , ,"0",,"0","0","0","0","0",No,Nessuna informazione,"0","0","0","0","0",Nessuna,Nessuna,Non verificato, ,"12056050",Montalto Marina,1999/06/18 00:00:00, ,"1968",G. Spagone,"6.84564469",{CFE2A82C-CFCD-4EB7-9364-301CF48FC5BE},,"6.84322539019814","51648.3217677656"
"56004",Barbarano Romano,"12.06596285","42.25224905","33657","33556","3",Sponde del fiume, , ,"0",,"0","0","0","0","0",No,Nessuna informazione,"0","0","0","0","0",Nessuna,Nessuna,Non verificato, ,"12058097",Ostia Lido,1998/07/14 00:00:00, ,"1968",G. Spagone,"287.99083465",{58E23DA6-D316-4C68-8746-54D97A47D290},,"287.967590372122","25564.8035817026"
"56005",Bassano Romano,"12.19265891","42.21828248","33945","33889","3",Sponde del fiume, , ,"0",,"0","0","0","0","0",No,Nessuna informazione,"0","0","0","0","0",Nessuna,Nessuna,Non verificato,Area mascherata nel 2000 e digitalizzata da ortofoto 2005,"12058029",Ostia Lido,1998/07/14 00:00:00, ,"1950",G. Poggi,"596.84526938",{0495C634-03AE-43DC-A304-A951C2EC6E3A},,"596.855713676752","28126.5386277393"
"56006",Bassano in Teverina,"12.30840046","42.46308252","32213","32046","3",Collegamento sponde del fiume, , ,"0",,"0","0","0","0","0",No,Nessuna informazione,"0","0","0","0","0",Nessuna,Nessuna,Non verificato, ,"12056050",Montalto Marina,1999/06/18 00:00:00, ,"1968",G. Poggi,"7.81026266",{1CF4D47D-F8D2-4A2E-B175-DC8DC86081DF},,"7.80799259514808","55010.8761260053"
"56007",Blera,"12.02576207","42.27419127","10718","10585","1",Bassa,Sabbiosa, ,"0",,"0","0","0","0","0",Si,Erosione,"1853.34","71512.38","43.59","60","0",Nessuna,Nessuna,Non verificato, ,"12056050",Montalto Marina,1999/06/18 00:00:00, ,"1968",G. Spagone,"1760.59747146",{EB39F085-0046-42C5-ACB6-A8E6CD0307E8},,"1760.12528237268","25265.4020919789"
"56008",Bolsena,"11.98758564","42.64473634","34606","34520","3",Sponde del fiume, , ,"0",,"0","0","0","0","0",No,Nessuna informazione,"0","0","0","0","0",Nessuna,Nessuna,Non verificato, ,"12056035",Montalto Marina,1999/06/18 00:00:00, ,"1968",G. Spagone,"700.30456582",{4D508396-F1C4-40E8-B171-39937E3F975D},,"700.046228123243","47165.1435658137"
"56009",Bomarzo,"12.25137261","42.49102137","32214","32047","3",Collegamento sponde del fiume, , ,"0",,"0","0","0","0","0",No,Nessuna informazione,"0","0","0","0","0",Nessuna,Nessuna,Non verificato, ,"12056050",Montalto Marina,1999/06/18 00:00:00, ,"1968",G. Spagone,"27.64235848",{EAFB21BF-EF5A-4345-9BAF-8D05BCB3C717},,"27.6340205979837","52499.9021209264"
"56010",Calcata,"12.42572011","42.21975805","34647","34572","3",Sponde del fiume, , ,"0",,"0","0","0","0","0",No,Nessuna informazione,"0","0","0","0","0",Nessuna,Nessuna,Non verificato, ,"12058120",Ostia Lido,1998/07/14 00:00:00, ,"1950",G. Spagone,"612.21894716",{EC3A2630-1006-4FE8-96FF-DE36E582018B},,"612.310576301204","39956.5752285571"
