istat,comune,lng,lat,join_OBJECTID_1,join_objectid,join_tipo_costa,join_descrizion,join_litologia,join_nome,join_id_interve,join_anno_costr,join_annodismis,join_dim_opera,join_dim_opera_,join_spaz_opera,join_dist_riva,join_flag_modif,join_modifica_o,join_lung_modif,join_area_modif,join_variaz_med,join_variaz_max,join_id_sistema,join_incongruen,join_incertezza,join_acc_geomet,join_annotazion,join_cod_istat,join_nome_uf,join_dataacqort,join_oraacqorto,join_data_igm,join_resp_digit,join_shape_leng,join_globalid,join_SHAPE__Length,join_Shape_Length,distance
"8001",Airole,7.55373372,43.87193229,"4758","4711","1",Bassa,Rocciosa, ,"0",,"0",0,"0","0","0",Si,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"7008065",Ventimiglia,1999/07/27 00:00:00, ,Agg. Prec. 1952,G. Montrone,258.38723644,{9FE17FF7-37B5-47E8-9055-FCA8B83BE28A},,257.297432171207,7934.98518121005
"8002",Apricale,7.66047436,43.88046591,"7590","7415","1",Bassa,Sabbiosa, ,"0",,"0",0,"0","0","0",Si,Avanzamento,725.59,33752.41,51.52,"112","0",Nessuna,Nessuna,Non verificato, ,"7008008",Imperia,1999/07/27 00:00:00, ,Agg. Prec. 1952,G. Montrone,303.90925375,{4192747B-4680-487C-AEE3-F14B593FB388},,302.664927385321,8630.60865617849
"8003",Aquila d'Arroscia,8.00538059,44.08368752,"8663","8534","1",Bassa,Sabbiosa, ,"0",,"0",0,"0","0","0",Si,Avanzamento,1413.57,16465.69,16.65,"36","0",Nessuna,Nessuna,Non verificato, ,"7009001",Albenga,1999/07/27 00:00:00, ,Agg. Prec. 1952,G. Montrone,1398.54752401,{71CD951D-B037-4268-8218-3778868AE1A4},,1393.47635314457,14995.016301567
"8004",Armo,7.91400884,44.08737513,"8663","8534","1",Bassa,Sabbiosa, ,"0",,"0",0,"0","0","0",Si,Avanzamento,1413.57,16465.69,16.65,"36","0",Nessuna,Nessuna,Non verificato, ,"7009001",Albenga,1999/07/27 00:00:00, ,Agg. Prec. 1952,G. Montrone,1398.54752401,{71CD951D-B037-4268-8218-3778868AE1A4},,1393.47635314457,21543.4284288618
"8005",Aurigo,7.92256375,43.98301362,"32899","34297","3",Sponde del fiume, , ,"0",,"0",0,"0","0","0",No,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"7008031",Imperia,1999/07/27 00:00:00, ,Agg. Prec. 1952,G. Montrone,551.76880992,{A4E95684-6C0E-4CCA-B6AD-6AD0FFAA192A},,549.691439012015,12643.8309334857
"8006",Badalucco,7.84704751,43.91563657,"33622","33521","3",Sponde del fiume, , ,"0",,"0",0,"0","0","0",No,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"7008050",Imperia,1999/07/27 00:00:00, ,Agg. Prec. 1952,G. Montrone,605.31408551,{9917F193-29A2-4649-870B-3CE17538D77E},,602.94078780921,7639.43560469257
"8007",Bajardo,7.71823202,43.90350463,"18672","18554","2","Altro (lidi, pontili, ecc.)", , ,"0",,"0",0,"0","0","0",Si,Nessuna informazione,0,0,0,"0","0",Altro,Nessuna,Ottima, ,"7008055",Imperia,1999/07/27 00:00:00, ,Agg. Prec. 1952,G. Montrone,165.46969109,{D0CD5C8A-1EEF-4AC0-BAC3-1EDE2CF246BF},,164.805876720497,9762.03671231085
"8008",Bordighera,7.67188845,43.77976186,"4530","4429","1",Bassa,Rocciosa, ,"0",,"0",0,"0","0","0",Si,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"7008008",Imperia,1999/07/27 00:00:00, ,Agg. Prec. 1952,G. Montrone,363.77684961,{BF007D4E-8C78-4AB9-80B8-52A35BB199EC},,362.277051456493,0
"8009",Borghetto d'Arroscia,7.98182679,44.05746703,"8663","8534","1",Bassa,Sabbiosa, ,"0",,"0",0,"0","0","0",Si,Avanzamento,1413.57,16465.69,16.65,"36","0",Nessuna,Nessuna,Non verificato, ,"7009001",Albenga,1999/07/27 00:00:00, ,Agg. Prec. 1952,G. Montrone,1398.54752401,{71CD951D-B037-4268-8218-3778868AE1A4},,1393.47635314457,15208.9152010679
"8010",Borgomaro,7.94489614,43.97560219,"32899","34297","3",Sponde del fiume, , ,"0",,"0",0,"0","0","0",No,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"7008031",Imperia,1999/07/27 00:00:00, ,Agg. Prec. 1952,G. Montrone,551.76880992,{A4E95684-6C0E-4CCA-B6AD-6AD0FFAA192A},,549.691439012015,10867.050238578
"8011",Camporosso,7.62833199,43.81518186,"33479","33485","3",Collegamento sponde del fiume, , ,"0",,"0",0,"0","0","0",No,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"7008065",Ventimiglia,1999/07/27 00:00:00, ,Agg. Prec. 1952,G. Montrone,93.19611947,{2574B0A1-C6F6-465A-82F9-F8AAA31D70B5},,92.8059196848246,2104.98997761752
"8012",Caravonica,7.95887794,43.99234154,"33584","33475","3",Collegamento sponde del fiume, , ,"0",,"0",0,"0","0","0",No,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"7008031",Imperia,1999/07/27 00:00:00, ,Agg. Prec. 1952,G. Montrone,97.98865218,{1411AC8B-CB64-4461-A282-6B36C625314F},,97.6197951580723,11830.0283381348
"8013",Carpasio,7.86676773,43.95985266,"33587","33478","3",Collegamento sponde del fiume, , ,"0",,"0",0,"0","0","0",No,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"7008050",Imperia,1999/07/27 00:00:00, ,Agg. Prec. 1952,G. Montrone,5.33888484,{A5BEFA34-2D6C-429C-979C-9566CC4F9E50},,5.3180658230881,12220.9433025627
"8014",Castellaro,7.86831607,43.86469941,"33622","33521","3",Sponde del fiume, , ,"0",,"0",0,"0","0","0",No,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"7008050",Imperia,1999/07/27 00:00:00, ,Agg. Prec. 1952,G. Montrone,605.31408551,{9917F193-29A2-4649-870B-3CE17538D77E},,602.94078780921,1730.16237741771
"8015",Castel Vittorio,7.67318527,43.92874403,"9131","8951","1",Bassa,Sabbiosa, ,"0",,"0",0,"0","0","0",Si,Erosione,676.56,19988.92,34.54,"52","0",Nessuna,Nessuna,Non verificato, ,"7008039",Imperia,1999/07/27 00:00:00, ,Agg. Prec. 1952,G. Montrone,291.08943745,{44A67225-3DD0-48BA-BBD2-CBA4F7262C0C},,289.901179126183,13527.1387218103
"8016",Ceriana,7.77294636,43.88094776,"23237","23131","2",Opere di difesa costiera-Radente a gettata, , ,"0",,"0",287.19618152,"0","0","0",Si,Stabilità,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"7008055",Imperia,1999/07/27 00:00:00, ,Agg. Prec. 1952,G. Montrone,288.34753765,{0DCC0430-2A6C-4AEC-B27E-8F54DEED9505},,287.196111394118,5901.54013497017
"8017",Cervo,8.11439209,43.92533848,"563","371","1",Alta,Rocciosa, ,"0",,"0",0,"0","0","0",Si,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"7008017",Imperia,1999/07/27 00:00:00, ,Agg. Prec. 1952,G. Montrone,2038.62536957,{A7B09BD1-22AE-473A-9CD4-AE10765BACF5},,2031.1340963448,0
"8018",Cesio,7.9749718,44.00771437,"33583","33474","3",Collegamento sponde del fiume, , ,"0",,"0",0,"0","0","0",No,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"7008027",Imperia,1999/07/27 00:00:00, ,Agg. Prec. 1952,G. Montrone,28.90636885,{AF7148C8-4EFD-4097-9423-E65BAF59A0DB},,28.7989055012634,12480.403707311
"8019",Chiusanico,7.9916401,43.97324089,"32897","34295","3",Sponde del fiume, , ,"0",,"0",0,"0","0","0",No,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"7008027",Imperia,1999/07/27 00:00:00, ,Agg. Prec. 1952,G. Montrone,571.92689302,{FA97D330-BF0E-4723-922B-1C20B4045239},,569.801269191993,8783.60791296062
"8020",Chiusavecchia,7.983327,43.9678916,"32899","34297","3",Sponde del fiume, , ,"0",,"0",0,"0","0","0",No,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"7008031",Imperia,1999/07/27 00:00:00, ,Agg. Prec. 1952,G. Montrone,551.76880992,{A4E95684-6C0E-4CCA-B6AD-6AD0FFAA192A},,549.691439012015,8519.21611731112
"8021",Cipressa,7.9340954,43.85295315,"565","373","1",Alta,Rocciosa, ,"0",,"0",0,"0","0","0",Si,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"7008021",Imperia,1999/07/27 00:00:00, ,Agg. Prec. 1952,G. Montrone,2857.28897515,{7F1E4441-56CE-4810-899E-1B6219CB72DC},,2846.24118158044,0
"8022",Civezza,7.95128441,43.87933711,"4747","4700","1",Bassa,Rocciosa, ,"0",,"0",0,"0","0","0",Si,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"7008054",Imperia,1999/07/27 00:00:00, ,Agg. Prec. 1952,G. Montrone,658.7055148,{10C7F9C8-B438-4C31-86DF-4628F3E3AEB8},,656.18071586604,1574.49406211771
