istat,comune,lng,lat,join_OBJECTID_1,join_objectid,join_tipo_costa,join_descrizion,join_litologia,join_nome,join_id_interve,join_anno_costr,join_annodismis,join_dim_opera,join_dim_opera_,join_spaz_opera,join_dist_riva,join_flag_modif,join_modifica_o,join_lung_modif,join_area_modif,join_variaz_med,join_variaz_max,join_id_sistema,join_incongruen,join_incertezza,join_acc_geomet,join_annotazion,join_cod_istat,join_nome_uf,join_dataacqort,join_oraacqorto,join_data_igm,join_resp_digit,join_shape_leng,join_globalid,join_SHAPE__Length,join_Shape_Length,distance
"41001",Acqualagna,"12.67087178","43.61673002","34579","34493","3",Sponde del fiume, , ,"0",,"0","0","0","0","0",No,Nessuna informazione,"0","0","0","0","0",Nessuna,Nessuna,Non verificato, ,"11041013",Rimini,1998/07/25 00:00:00, ,"1948",C. La Mantia,"586.73157987",{63FAC493-5362-464F-AB77-AA12F3BA5E5A},,"587.294526001917","36499.6472825429"
"41002",Apecchio,"12.41964013","43.55830201","19456","19330","2",Opere Portuali, , ,"0",,"0","0","0","0","0",No,Nessuna informazione,"0","0","0","0","0",Nessuna,Nessuna,Non verificato, ,"8099005",Rimini,1998/07/13 00:00:00, ,"1948",V. Angione,"2517.50534912",{F758FA0C-3515-4BDC-9EDC-06F11E4CB04C},,"2519.21981452099","50553.7772051872"
"41003",Auditore,"12.57175016","43.82118648","32706","32641","3",Collegamento sponde del fiume, , ,"0",,"0","0","0","0","0",No,Nessuna informazione,"0","0","0","0","0",Nessuna,Nessuna,Non verificato, ,"8099005",Rimini,1998/07/13 00:00:00, ,"1948",V. Angione,"4.48675833",{51F3EE8D-B660-45DE-833F-3A94D5AF16A6},,"4.4897038771066","18959.7083632322"
"41005",Belforte all'Isauro,"12.37562574","43.7170107","32706","32641","3",Collegamento sponde del fiume, , ,"0",,"0","0","0","0","0",No,Nessuna informazione,"0","0","0","0","0",Nessuna,Nessuna,Non verificato, ,"8099005",Rimini,1998/07/13 00:00:00, ,"1948",V. Angione,"4.48675833",{51F3EE8D-B660-45DE-833F-3A94D5AF16A6},,"4.4897038771066","37617.3465204282"
"41006",Borgo Pace,"12.29461948","43.6581701","32706","32641","3",Collegamento sponde del fiume, , ,"0",,"0","0","0","0","0",No,Nessuna informazione,"0","0","0","0","0",Nessuna,Nessuna,Non verificato, ,"8099005",Rimini,1998/07/13 00:00:00, ,"1948",V. Angione,"4.48675833",{51F3EE8D-B660-45DE-833F-3A94D5AF16A6},,"4.4897038771066","46843.8299374736"
"41007",Cagli,"12.64801492","43.54638176","33687","33586","3",Collegamento sponde del fiume, , ,"0",,"0","0","0","0","0",No,Nessuna informazione,"0","0","0","0","0",Nessuna,Nessuna,Non verificato, ,"11041013",Rimini,1998/07/25 00:00:00, ,"1948",C. La Mantia,"22.20722441",{63D509E6-9B4C-4C78-AB50-30F53BC0320E},,"22.2284496312582","43508.2821363318"
"41008",Cantiano,"12.62723295","43.4736579","34576","34490","3",Sponde del fiume, , ,"0",,"0","0","0","0","0",No,Nessuna informazione,"0","0","0","0","0",Nessuna,Nessuna,Non verificato, ,"11041013",Rimini,1998/07/25 00:00:00, ,"1948",C. La Mantia,"621.47653331",{E197E96C-1791-4F4A-9B94-D192FEDB6FDA},,"622.077758160818","50862.9814786449"
"41009",Carpegna,"12.33599429","43.78121521","32708","32643","3",Collegamento sponde del fiume, , ,"0",,"0","0","0","0","0",No,Nessuna informazione,"0","0","0","0","0",Nessuna,Nessuna,Non verificato, ,"8099013",Rimini,1998/06/29 00:00:00, ,"1948",V. Angione,"17.21761235",{F237258F-5715-41C0-89FA-9E5DAAAE0A22},,"17.2279987011542","34561.0923892207"
"41010",Cartoceto,"12.88376809","43.76458096","33687","33586","3",Collegamento sponde del fiume, , ,"0",,"0","0","0","0","0",No,Nessuna informazione,"0","0","0","0","0",Nessuna,Nessuna,Non verificato, ,"11041013",Rimini,1998/07/25 00:00:00, ,"1948",C. La Mantia,"22.20722441",{63D509E6-9B4C-4C78-AB50-30F53BC0320E},,"22.2284496312582","12728.9047513128"
"41013",Fano,"13.01966068","43.84340093","8474","8286","1",Bassa,Sabbiosa, ,"0",,"0","0","0","0","0",Si,Avanzamento,"781.13","34011.2","48.54","72","0",Nessuna,Nessuna,Non verificato, ,"11041013",Rimini,1998/07/25 00:00:00, ,"1948",C. La Mantia,"16.11633886",{4E32ED4B-5DAC-4BEE-AC51-12FC6F202ED1},,"16.1320437525741","0"
