istat,comune,lng,lat,join_OBJECTID_1,join_objectid,join_tipo_costa,join_descrizion,join_litologia,join_nome,join_id_interve,join_anno_costr,join_annodismis,join_dim_opera,join_dim_opera_,join_spaz_opera,join_dist_riva,join_flag_modif,join_modifica_o,join_lung_modif,join_area_modif,join_variaz_med,join_variaz_max,join_id_sistema,join_incongruen,join_incertezza,join_acc_geomet,join_annotazion,join_cod_istat,join_nome_uf,join_dataacqort,join_oraacqorto,join_data_igm,join_resp_digit,join_shape_leng,join_globalid,join_SHAPE__Length,join_Shape_Length,distance
"81001",Alcamo,12.96497004,37.98060309,"34908","35026","3",Sponde del fiume, , ,"0",,"0",0,"0","0","0",No,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"19081001",Castellammare del Golfo,1999/05/01 00:00:00, ,"1970",R. Francioso,776.05844204,{3BB79BDB-3665-40C6-B6F9-5114F4C2D0EB},,776.89842713201,4227.89690394912
"81002",Buseto Palizzolo,12.71132304,38.01217232,"8479","8291","1",Bassa,Sabbiosa, ,"0",,"0",0,"0","0","0",Si,Avanzamento,781.83,22760.9090475,34.11,"64","0",Nessuna,Nessuna,Non verificato, ,"19081022",Erice,1999/05/13 00:00:00, ,"1970",R. Francioso,202.85945525,{30D663C1-597C-42A1-8052-07535568C72B},,203.008234430394,8401.76629603875
"81003",Calatafimi-Segesta,12.86271362,37.91416321,"34906","35024","3",Sponde del fiume, , ,"0",,"0",0,"0","0","0",No,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"19081001",Castellammare del Golfo,1999/05/01 00:00:00, ,"1970",R. Francioso,1079.5969738,{897B4D66-E73B-44A5-AA1D-0555F26D2CE9},,1080.70947797173,10927.4124411239
"81004",Campobello di Mazara,12.74409014,37.63458999,"8818","8712","1",Bassa,Sabbiosa, ,"0",,"0",0,"0","0","0",Si,Avanzamento,2016.37,32929.1007056,21.33,"40","0",Nessuna,Nessuna,Non verificato, ,"19081004",Selinunte,1999/05/13 00:00:00, ,"1970",R. Francioso,1862.44360311,{95F3A1C9-5B4D-448A-A972-F9153DBA3F71},,1864.06458830171,5454.09103003688
"81005",Castellammare del Golfo,12.8804435,38.02637875,"1647","1528","1",Alta,Rocciosa, ,"0",,"0",0,"0","0","0",Si,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"19081005",Castellammare del Golfo,1999/05/01 00:00:00, ,"1970",R. Francioso,2131.53661556,{1E5C7D38-030C-4152-8679-9A1AE21D8302},,2133.65251958811,0
"81006",Castelvetrano,12.79163803,37.67916124,"34910","35028","3",Sponde del fiume, , ,"0",,"0",0,"0","0","0",No,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"19081006",Selinunte,1999/05/13 00:00:00, ,"1970",R. Francioso,819.83347116,{9C049290-EF77-4091-A4A0-37A9188E20A8},,820.608578951337,9337.64851733319
"81007",Custonaci,12.67554057,38.07802811,"5717","5614","1",Bassa,Rocciosa, ,"0",,"0",0,"0","0","0",Si,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"19081007",Erice,1999/05/13 00:00:00, ,"1970",G. Poggi,534.18311396,{EBD7E498-E924-4DA7-B73E-75DA48C05D7B},,534.585290275523,995.489894468119
"81008",Erice,12.58703706,38.03810338,"3917","4618","1",Bassa,Rocciosa, ,"0",,"0",0,"0","0","0",Si,Nessuna informazione,0,0,0,"0","0",Nessuna,Litologia,Non verificato, ,"19081008",Erice,1999/05/13 00:00:00, ,"1970",R. Francioso,662.62520481,{848E4302-E3AF-4F41-A2BF-07BF7AB17F17},,663.067240793176,2146.86689194054
"81009",Favignana,12.32724071,37.93177599,"1299","1126","1",Alta,Rocciosa, ,"0",,"0",0,"0","0","0",Si,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"19081009",Favignana porto,1999/05/01 00:00:00, ,"1970",R. Francioso,1402.03141822,{19DF9F9F-40C3-4E5E-8B00-FD4E6EBF2A3C},,1402.54294116412,0
"81010",Gibellina,12.86981861,37.80994146,"32665","32600","3",Collegamento sponde del fiume, , ,"0",,"0",0,"0","0","0",No,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"19081001",Castellammare del Golfo,1999/05/01 00:00:00, ,"1970",R. Francioso,14.15025582,{A4394523-81E8-4796-B561-566EDB75B75A},,14.1647643766557,22179.8568929336
"81011",Marsala,12.43494685,37.79917261,"4559","4458","1",Bassa,Rocciosa, ,"0",,"0",0,"0","0","0",Si,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"19081011",Trapani,1999/05/01 00:00:00, ,"1970",R. Francioso,2445.05554049,{69D59659-1BCC-4246-AE82-35CCADD617E4},,2446.2547427976,0
"81013",Paceco,12.55709849,37.98109237,"33706","33754","3",Collegamento sponde del fiume, , ,"0",,"0",0,"0","0","0",No,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"19081021",Trapani,1999/05/01 00:00:00, ,"1970",R. Francioso,20.53419383,{CFED7337-5518-4712-9167-AFDAE511A549},,20.5465505796113,1181.88093596796
"81014",Pantelleria,11.94474454,36.83189316,"5765","5674","1",Bassa,Rocciosa, ,"0",,"0",0,"0","0","0",Si,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"19081014",Pantelleria nord,1999/10/27 00:00:00, ,"1970",V. Angione,1418.55446692,{2C12D20F-6CE1-464A-9188-CDF57F05073A},,1418.47009195273,0
"81015",Partanna,12.88966372,37.7213966,"34911","35029","3",Sponde del fiume, , ,"0",,"0",0,"0","0","0",No,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"19081006",Selinunte,1999/05/13 00:00:00, ,"1970",R. Francioso,1169.23390776,{924584A8-CDA8-4F46-96DB-41D3D0AA9262},,1170.40445273482,13629.7141824182
"81016",Poggioreale,13.03394289,37.76214589,"10633","10500","1",Bassa,Sabbiosa, ,"0",,"0",0,"0","0","0",Si,Erosione,3817.99,128667.3,38.7,"88","0",Nessuna,Nessuna,Non verificato, ,"19084023",Selinunte,1998/04/04 00:00:00, ,"1970",R. Francioso,2271.37439219,{28FC33F9-C341-4BBD-AC13-B59A138423F3},,2273.83508918435,21576.7218928173
"81017",Salaparuta,13.00627343,37.75697501,"10633","10500","1",Bassa,Sabbiosa, ,"0",,"0",0,"0","0","0",Si,Erosione,3817.99,128667.3,38.7,"88","0",Nessuna,Nessuna,Non verificato, ,"19084023",Selinunte,1998/04/04 00:00:00, ,"1970",R. Francioso,2271.37439219,{28FC33F9-C341-4BBD-AC13-B59A138423F3},,2273.83508918435,20268.0614626931
"81018",Salemi,12.80150907,37.81600398,"34906","35024","3",Sponde del fiume, , ,"0",,"0",0,"0","0","0",No,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"19081001",Castellammare del Golfo,1999/05/01 00:00:00, ,"1970",R. Francioso,1079.5969738,{897B4D66-E73B-44A5-AA1D-0555F26D2CE9},,1080.70947797173,22993.6976402213
"81019",Santa Ninfa,12.88021819,37.77382222,"34911","35029","3",Sponde del fiume, , ,"0",,"0",0,"0","0","0",No,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"19081006",Selinunte,1999/05/13 00:00:00, ,"1970",R. Francioso,1169.23390776,{924584A8-CDA8-4F46-96DB-41D3D0AA9262},,1170.40445273482,19377.27980278
"81020",San Vito Lo Capo,12.73502088,38.17309895,"7535","7619","1",Bassa,Sabbiosa, ,"0",,"0",0,"0","0","0",Si,Avanzamento,289.18,8870.15475036,35.67,"68","0",Nessuna,Nessuna,Ottima, ,"19081020",S. Vito Lo Capo,1999/05/13 00:00:00, ,"1970",R. Francioso,194.21461883,{9DE8B13B-B233-41D0-89F6-63DE069D45C6},,194.376341129534,0
