istat,comune,lng,lat,join_OBJECTID_1,join_objectid,join_tipo_costa,join_descrizion,join_litologia,join_nome,join_id_interve,join_anno_costr,join_annodismis,join_dim_opera,join_dim_opera_,join_spaz_opera,join_dist_riva,join_flag_modif,join_modifica_o,join_lung_modif,join_area_modif,join_variaz_med,join_variaz_max,join_id_sistema,join_incongruen,join_incertezza,join_acc_geomet,join_annotazion,join_cod_istat,join_nome_uf,join_dataacqort,join_oraacqorto,join_data_igm,join_resp_digit,join_shape_leng,join_globalid,join_SHAPE__Length,join_Shape_Length,distance
"66001",Acciano,13.71834861,42.1767172,"33789","33720","3",Collegamento sponde del fiume, , ,false,,"0",0,false,false,false,No,Nessuna informazione,0,0,0,"0",false,Nessuna,Nessuna,Non verificato, ,"13068012",Pescara,1998/04/21 00:00:00, ,"1955",V. Proto,87.75407962,{AF0630D0-01C0-4DC4-9CD8-88E7FC86139C},,87.9406493733405,51109.0345943895
"66002",Aielli,13.5902834,42.08021928,"33789","33720","3",Collegamento sponde del fiume, , ,false,,"0",0,false,false,false,No,Nessuna informazione,0,0,0,"0",false,Nessuna,Nessuna,Non verificato, ,"13068012",Pescara,1998/04/21 00:00:00, ,"1955",V. Proto,87.75407962,{AF0630D0-01C0-4DC4-9CD8-88E7FC86139C},,87.9406493733405,66171.2654502695
"66003",Alfedena,14.03435518,41.73396985,"13298","13209","1",Bassa,Sabbiosa, ,false,,"0",0,false,false,false,Si,Stabilità,0,0,0,"0",false,Nessuna,Nessuna,Non verificato, ,"12059014",Castel Volturno,1998/07/20 00:00:00, ,"1957",G. Spagone,1411.03330407,{022E49C3-4A49-4D89-891C-ACB21B4251DB},,1413.54197144118,59025.3472628754
"66004",Anversa degli Abruzzi,13.8035817,41.99463497,"33793","33724","3",Collegamento sponde del fiume, , ,false,,"0",0,false,false,false,No,Nessuna informazione,0,0,0,"0",false,Nessuna,Nessuna,Non verificato, ,"13069035",Pescara,1999/05/27 00:00:00, ,"1955",V. Proto,12.57822612,{3B9B140A-6D3E-4E74-AEDC-E4BB7FC3A9B1},,12.6068351303252,60858.5621490678
"66005",Ateleta,14.19778348,41.85503505,"33792","33723","3",Collegamento sponde del fiume, , ,false,,"0",0,false,false,false,No,Nessuna informazione,0,0,0,"0",false,Nessuna,Nessuna,Non verificato, ,"13069033",Pescara,1999/05/27 00:00:00, ,"1956",V. Proto,14.3971022,{3A7902A0-B3EF-4080-82C0-C7C9E89D4F65},,14.4337637177991,49459.6843908164
"66006",Avezzano,13.4267507,42.03068032,"33789","33720","3",Collegamento sponde del fiume, , ,false,,"0",0,false,false,false,No,Nessuna informazione,0,0,0,"0",false,Nessuna,Nessuna,Non verificato, ,"13068012",Pescara,1998/04/21 00:00:00, ,"1955",V. Proto,87.75407962,{AF0630D0-01C0-4DC4-9CD8-88E7FC86139C},,87.9406493733405,79551.3860403506
"66007",Balsorano,13.56334801,41.80361236,"33044","32947","3",Collegamento sponde del fiume, , ,false,,"0",0,false,false,false,No,Nessuna informazione,0,0,0,"0",false,Nessuna,Nessuna,Non verificato, ,"12059007",Terracina,1998/07/20 00:00:00, ,Agg. Prec. 1952,G. Spagone,24.5450846,{0BBB4BEA-87D5-4580-B73B-4F7DDDE62111},,24.5791351235529,58554.622201567
"66008",Barete,13.28126973,42.45096144,"11073","10979","1",Bassa,Sabbiosa, ,false,,"0",0,false,false,false,Si,Erosione,3016.16,146525.52,53.58,"96",false,Nessuna,Nessuna,Non verificato, ,"13067037",Pescara,1998/04/21 00:00:00, ,"1955",V. Proto,788.98044662,{2280AC69-C004-4EA7-8BEC-94BD2FA56021},,790.541548079403,64335.4808986994
"66009",Barisciano,13.59077801,42.32702005,"33783","33714","3",Collegamento sponde del fiume, , ,false,,"0",0,false,false,false,No,Nessuna informazione,0,0,0,"0",false,Nessuna,Nessuna,Non verificato, ,"13067040",Pescara,1998/04/21 00:00:00, ,"1955",V. Proto,23.72906902,{08DCA753-0D04-4912-822E-CAE85491795A},,23.7785022424158,48535.0801869567
"66010",Barrea,13.99152867,41.75758413,"13298","13209","1",Bassa,Sabbiosa, ,false,,"0",0,false,false,false,Si,Stabilità,0,0,0,"0",false,Nessuna,Nessuna,Non verificato, ,"12059014",Castel Volturno,1998/07/20 00:00:00, ,"1957",G. Spagone,1411.03330407,{022E49C3-4A49-4D89-891C-ACB21B4251DB},,1413.54197144118,59896.9047013973
"66011",Bisegna,13.75748539,41.92098736,"34755","34644","3",Sponde del fiume, , ,false,,"0",0,false,false,false,No,Nessuna informazione,0,0,0,"0",false,Nessuna,Nessuna,Non verificato, ,"13069058",Pescara,1999/05/27 00:00:00, ,"1955",V. Proto,747.15551721,{747930D7-BAE8-44D7-BEFC-A31C42FC59DB},,748.894254069537,69591.764717955
"66012",Bugnara,13.85871232,42.0221591,"34755","34644","3",Sponde del fiume, , ,false,,"0",0,false,false,false,No,Nessuna informazione,0,0,0,"0",false,Nessuna,Nessuna,Non verificato, ,"13069058",Pescara,1999/05/27 00:00:00, ,"1955",V. Proto,747.15551721,{747930D7-BAE8-44D7-BEFC-A31C42FC59DB},,748.894254069537,55599.4122350369
"66013",Cagnano Amiterno,13.22460313,42.45911331,"34729","34618","3",Sponde del fiume, , ,false,,"0",0,false,false,false,No,Nessuna informazione,0,0,0,"0",false,Nessuna,Nessuna,Non verificato, ,"13067025",Pescara,1998/04/21 00:00:00, ,"1955",V. Proto,624.74390935,{DBAD8753-0A8B-4810-95D8-ED13FD1A2D5B},,625.967755014954,68070.7310023816
"66014",Calascio,13.69480342,42.32552057,"33789","33720","3",Collegamento sponde del fiume, , ,false,,"0",0,false,false,false,No,Nessuna informazione,0,0,0,"0",false,Nessuna,Nessuna,Non verificato, ,"13068012",Pescara,1998/04/21 00:00:00, ,"1955",V. Proto,87.75407962,{AF0630D0-01C0-4DC4-9CD8-88E7FC86139C},,87.9406493733405,41676.2009082975
"66015",Campo di Giove,14.04454313,42.01192578,"14863","14894","1",Bassa,Sabbiosa, ,false,,"0",0,false,false,false,Si,Stabilità,0,0,0,"0",false,Nessuna,Nessuna,Ottima, ,"13069033",Pescara,1999/05/27 00:00:00, ,"1956",V. Proto,466.21930819,{B503A15A-3ACF-4C0E-AB5A-6D116CE57347},,467.39459560148,45818.7399265156
"66016",Campotosto,13.36989188,42.55735732,"33784","33715","3",Collegamento sponde del fiume, , ,false,,"0",0,false,false,false,No,Nessuna informazione,0,0,0,"0",false,Nessuna,Nessuna,Non verificato, ,"13067044",Pescara,1998/04/21 00:00:00, ,"1954",V. Proto,8.76116449,{5034EC4C-8328-4261-B603-86AA0081EE07},,8.77797974032397,52633.4331868372
"66017",Canistro,13.41146423,41.94121103,"33778","33709","3",Collegamento sponde del fiume, , ,false,,"0",0,false,false,false,No,Nessuna informazione,0,0,0,"0",false,Nessuna,Nessuna,Non verificato, ,"12059032",Terracina,1998/07/20 00:00:00, ,Agg. Prec. 1952,G. Spagone,14.60844854,{7F1F116D-8096-46BC-A707-57EE79D16F25},,14.6278975273986,71016.2045018212
"66018",Cansano,14.01095792,42.00461222,"13404","13315","1",Bassa,Sabbiosa, ,false,,"0",0,false,false,false,Si,Stabilità,0,0,0,"0",false,Nessuna,Nessuna,Non verificato, ,"13069058",Pescara,1999/05/27 00:00:00, ,"1956",V. Proto,68.05385472,{912E364E-3DE2-45D3-B6BA-FBF76C294555},,68.2205561794103,48416.1714582556
"66019",Capestrano,13.76827562,42.2674233,"33789","33720","3",Collegamento sponde del fiume, , ,false,,"0",0,false,false,false,No,Nessuna informazione,0,0,0,"0",false,Nessuna,Nessuna,Non verificato, ,"13068012",Pescara,1998/04/21 00:00:00, ,"1955",V. Proto,87.75407962,{AF0630D0-01C0-4DC4-9CD8-88E7FC86139C},,87.9406493733405,40925.2159508119
"66020",Capistrello,13.3896681,41.96555325,"33778","33709","3",Collegamento sponde del fiume, , ,false,,"0",0,false,false,false,No,Nessuna informazione,0,0,0,"0",false,Nessuna,Nessuna,Non verificato, ,"12059032",Terracina,1998/07/20 00:00:00, ,Agg. Prec. 1952,G. Spagone,14.60844854,{7F1F116D-8096-46BC-A707-57EE79D16F25},,14.6278975273986,73459.8016892537
"66021",Capitignano,13.30080121,42.52023244,"34729","34618","3",Sponde del fiume, , ,false,,"0",0,false,false,false,No,Nessuna informazione,0,0,0,"0",false,Nessuna,Nessuna,Non verificato, ,"13067025",Pescara,1998/04/21 00:00:00, ,"1955",V. Proto,624.74390935,{DBAD8753-0A8B-4810-95D8-ED13FD1A2D5B},,625.967755014954,59495.1094478965
"66022",Caporciano,13.67134169,42.25185802,"34735","34624","3",Sponde del fiume, , ,false,,"0",0,false,false,false,No,Nessuna informazione,0,0,0,"0",false,Nessuna,Nessuna,Non verificato, ,"13067040",Pescara,1998/04/21 00:00:00, ,"1955",V. Proto,1251.33297348,{EB4A1365-F180-4FCA-9157-2F3252CD5C9D},,1254.00074092832,48054.77353164
"66023",Cappadocia,13.27922691,42.00705716,"13128","13029","1",Bassa,Sabbiosa, ,false,,"0",0,false,false,false,Si,Stabilità,0,0,0,"0",false,Nessuna,Nessuna,Non verificato, ,"12059011",Sabaudia,1998/07/19 00:00:00, ,Agg. Prec. 1952,G. Spagone,619.44684038,{01B1FC5F-937F-4B42-BE2F-8C2714B1094F},,620.005942254963,74000.1276606103
"66024",Carapelle Calvisio,13.68320669,42.29914841,"34735","34624","3",Sponde del fiume, , ,false,,"0",0,false,false,false,No,Nessuna informazione,0,0,0,"0",false,Nessuna,Nessuna,Non verificato, ,"13067040",Pescara,1998/04/21 00:00:00, ,"1955",V. Proto,1251.33297348,{EB4A1365-F180-4FCA-9157-2F3252CD5C9D},,1254.00074092832,44098.2196731259
"66025",Carsoli,13.08268758,42.09641669,"33108","33595","3",Collegamento sponde del fiume, , ,false,,"0",0,false,false,false,No,Nessuna informazione,0,0,0,"0",false,Nessuna,Nessuna,Non verificato, ,"12058079",Ostia Lido,1998/07/17 00:00:00, ,Agg. Prec. 1952,G. Spagone,7.48396615,{C92505D2-F5E7-4A5D-B744-F5B8E3836780},,7.48759635470012,72274.5455295348
"66026",Castel del Monte,13.72647549,42.3648464,"33783","33714","3",Collegamento sponde del fiume, , ,false,,"0",0,false,false,false,No,Nessuna informazione,0,0,0,"0",false,Nessuna,Nessuna,Non verificato, ,"13067040",Pescara,1998/04/21 00:00:00, ,"1955",V. Proto,23.72906902,{08DCA753-0D04-4912-822E-CAE85491795A},,23.7785022424158,36974.5321931952
"66027",Castel di Ieri,13.74075737,42.11406339,"33790","33721","3",Collegamento sponde del fiume, , ,false,,"0",0,false,false,false,No,Nessuna informazione,0,0,0,"0",false,Nessuna,Nessuna,Non verificato, ,"13068028",Pescara,1999/05/27 00:00:00, ,"1955",V. Proto,91.97664123,{5ED3D99F-2F6A-4599-88E9-8515855A7C0F},,92.1805748960688,54506.1600711824
"66028",Castel di Sangro,14.10848588,41.78521078,"33792","33723","3",Collegamento sponde del fiume, , ,false,,"0",0,false,false,false,No,Nessuna informazione,0,0,0,"0",false,Nessuna,Nessuna,Non verificato, ,"13069033",Pescara,1999/05/27 00:00:00, ,"1956",V. Proto,14.3971022,{3A7902A0-B3EF-4080-82C0-C7C9E89D4F65},,14.4337637177991,60075.3817625498
"66029",Castellafiume,13.33468595,41.9879634,"33047","32950","3",Collegamento sponde del fiume, , ,false,,"0",0,false,false,false,No,Nessuna informazione,0,0,0,"0",false,Nessuna,Nessuna,Non verificato, ,"12059011",Sabaudia,1998/07/20 00:00:00, ,Agg. Prec. 1952,G. Spagone,27.78212533,{77C4CD38-9CE9-4728-91BB-3C3CE0DA38B8},,27.8084840612165,74193.1186835277
"66030",Castelvecchio Calvisio,13.68873416,42.31015377,"34735","34624","3",Sponde del fiume, , ,false,,"0",0,false,false,false,No,Nessuna informazione,0,0,0,"0",false,Nessuna,Nessuna,Non verificato, ,"13067040",Pescara,1998/04/21 00:00:00, ,"1955",V. Proto,1251.33297348,{EB4A1365-F180-4FCA-9157-2F3252CD5C9D},,1254.00074092832,43030.8312281794
"66031",Castelvecchio Subequo,13.72883016,42.131473,"33790","33721","3",Collegamento sponde del fiume, , ,false,,"0",0,false,false,false,No,Nessuna informazione,0,0,0,"0",false,Nessuna,Nessuna,Non verificato, ,"13068028",Pescara,1999/05/27 00:00:00, ,"1955",V. Proto,91.97664123,{5ED3D99F-2F6A-4599-88E9-8515855A7C0F},,92.1805748960688,53881.3957804756
"66032",Celano,13.54822195,42.08483293,"33789","33720","3",Collegamento sponde del fiume, , ,false,,"0",0,false,false,false,No,Nessuna informazione,0,0,0,"0",false,Nessuna,Nessuna,Non verificato, ,"13068012",Pescara,1998/04/21 00:00:00, ,"1955",V. Proto,87.75407962,{AF0630D0-01C0-4DC4-9CD8-88E7FC86139C},,87.9406493733405,68166.3952202687
