istat,comune,lng,lat,join_OBJECTID_1,join_objectid,join_tipo_costa,join_descrizion,join_litologia,join_nome,join_id_interve,join_anno_costr,join_annodismis,join_dim_opera,join_dim_opera_,join_spaz_opera,join_dist_riva,join_flag_modif,join_modifica_o,join_lung_modif,join_area_modif,join_variaz_med,join_variaz_max,join_id_sistema,join_incongruen,join_incertezza,join_acc_geomet,join_annotazion,join_cod_istat,join_nome_uf,join_dataacqort,join_oraacqorto,join_data_igm,join_resp_digit,join_shape_leng,join_globalid,join_SHAPE__Length,join_Shape_Length,distance
"76001",Abriola,15.81220103,40.50793246,"9542","9665","1",Bassa,Sabbiosa, ,"0",,"0",0,"0","0","0",Si,Erosione,481.83,6741.25,18.99,"35","0",Nessuna,Nessuna,Ottima, ,"15065134",Sapri,1998/06/02 00:00:00, ,"1956",G. Spagone,341.4813942,{2D2B56F8-2384-4EA0-944E-0207200E220A},,342.81406319346,49908.6617690632
"76002",Acerenza,15.94167632,40.79553337,"34845","34788","3",Sponde del fiume, , ,"0",,"0",0,"0","0","0",No,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"16072007",Manfredonia,1998/04/21 00:00:00, ,"1957",G. Poggi,108.39503542,{7FC9BFB0-3205-48D8-ABAB-307D3BDA4768},,108.874470416904,64211.5055466662
"76003",Albano di Lucania,16.03615712,40.58299757,"9542","9665","1",Bassa,Sabbiosa, ,"0",,"0",0,"0","0","0",Si,Erosione,481.83,6741.25,18.99,"35","0",Nessuna,Nessuna,Ottima, ,"15065134",Sapri,1998/06/02 00:00:00, ,"1956",G. Spagone,341.4813942,{2D2B56F8-2384-4EA0-944E-0207200E220A},,342.81406319346,65651.593904076
"76004",Anzi,15.92392583,40.51449458,"9542","9665","1",Bassa,Sabbiosa, ,"0",,"0",0,"0","0","0",Si,Erosione,481.83,6741.25,18.99,"35","0",Nessuna,Nessuna,Ottima, ,"15065134",Sapri,1998/06/02 00:00:00, ,"1956",G. Spagone,341.4813942,{2D2B56F8-2384-4EA0-944E-0207200E220A},,342.81406319346,54288.2329529762
"76005",Armento,16.06647994,40.30519121,"234","1467","1",Alta,Rocciosa, ,"0",,"0",0,"0","0","0",Si,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"17076044",Maratea,1998/06/02 00:00:00, ,"1956",V. Proto,3077.38392235,{15808E5F-017D-474F-BA6A-848BA7AB1516},,3089.57781173762,44291.9536714868
"76006",Atella,15.65274277,40.87742205,"34830","34773","3",Sponde del fiume, , ,"0",,"0",0,"0","0","0",No,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"16071064",Manfredonia,1998/05/26 00:00:00, ,"1957",G. Montrone,369.74672467,{3E8E8B0D-AFF9-497F-85B0-90C82D89D2D3},,371.276081018428,67201.8340840965
"76007",Avigliano,15.71780199,40.72977773,"33925","34728","3",Sponde del fiume, , ,"0",,"0",0,"0","0","0",No,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"15065025",Agropoli,1998/06/03 00:00:00, ,"1956",G. Spagone,507.61368158,{D5EDE548-13FA-4982-AC6B-7339B2B5D766},,509.226880139489,69607.084683097
"76008",Balvano,15.5120599,40.65124604,"33925","34728","3",Sponde del fiume, , ,"0",,"0",0,"0","0","0",No,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"15065025",Agropoli,1998/06/03 00:00:00, ,"1956",G. Spagone,507.61368158,{D5EDE548-13FA-4982-AC6B-7339B2B5D766},,509.226880139489,50098.3202526242
"76009",Banzi,16.01328897,40.86033582,"34845","34788","3",Sponde del fiume, , ,"0",,"0",0,"0","0","0",No,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"16072007",Manfredonia,1998/04/21 00:00:00, ,"1957",G. Poggi,108.39503542,{7FC9BFB0-3205-48D8-ABAB-307D3BDA4768},,108.874470416904,55153.4282208399
"76010",Baragiano,15.59420625,40.67956537,"33925","34728","3",Sponde del fiume, , ,"0",,"0",0,"0","0","0",No,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"15065025",Agropoli,1998/06/03 00:00:00, ,"1956",G. Spagone,507.61368158,{D5EDE548-13FA-4982-AC6B-7339B2B5D766},,509.226880139489,57725.6893682628
"76011",Barile,15.67273006,40.94608063,"34830","34773","3",Sponde del fiume, , ,"0",,"0",0,"0","0","0",No,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"16071064",Manfredonia,1998/05/26 00:00:00, ,"1957",G. Montrone,369.74672467,{3E8E8B0D-AFF9-497F-85B0-90C82D89D2D3},,371.276081018428,59603.3624678755
"76012",Bella,15.53778824,40.75859333,"33703","33751","3",Collegamento sponde del fiume, , ,"0",,"0",0,"0","0","0",No,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"15065014",Agropoli,1998/05/13 00:00:00, ,"1956",G. Spagone,9.76765322,{E81DDBD3-A039-4401-BC4C-17469A14BEEB},,9.79755698440608,57403.6959815204
