istat,comune,lng,lat,join_OBJECTID_1,join_objectid,join_tipo_costa,join_descrizion,join_litologia,join_nome,join_id_interve,join_anno_costr,join_annodismis,join_dim_opera,join_dim_opera_,join_spaz_opera,join_dist_riva,join_flag_modif,join_modifica_o,join_lung_modif,join_area_modif,join_variaz_med,join_variaz_max,join_id_sistema,join_incongruen,join_incertezza,join_acc_geomet,join_annotazion,join_cod_istat,join_nome_uf,join_dataacqort,join_oraacqorto,join_data_igm,join_resp_digit,join_shape_leng,join_globalid,join_SHAPE__Length,join_Shape_Length,distance
"29002",Ariano nel Polesine,12.12108456,44.94521256,"34444","34358","3",Sponde del fiume, , ,"0",,"0",0,"0","0","0",No,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"8038025",Rimini,1999/09/09 00:00:00, ,Agg. Prec. 1952,G. Poggi,526.40652005,{AAF54EC1-2F95-467C-84FE-64C36730D220},,526.543385176029,15848.3633640918
"33001",Agazzano,9.52061417,44.94680696,"20472","20344","2",Opere di difesa costiera-Opere miste, , ,"0",,"0",0,"0","0","0",No,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"7010046",Chiavari,1999/07/27 00:00:00, ,Agg. Prec. 1952,G. Montrone,32.54256461,{60C3085A-4669-4A0C-B74A-F9D3CEAADC6C},,32.4582445082705,69247.7957505818
"33002",Alseno,9.96455314,44.89633345,"30259","30191","3",Collegamento sponde del fiume, , ,"0",,"0",0,"0","0","0",No,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"7010015",Chiavari,1999/07/20 00:00:00, ,Agg. Prec. 1952,G. Montrone,0.83589862,{50263365-A5D1-4623-BF61-A47FEB026A2B},,0.83378732373122,80641.7574676288
"33003",Besenzone,9.95361533,44.98756521,"30259","30191","3",Collegamento sponde del fiume, , ,"0",,"0",0,"0","0","0",No,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"7010015",Chiavari,1999/07/20 00:00:00, ,Agg. Prec. 1952,G. Montrone,0.83589862,{50263365-A5D1-4623-BF61-A47FEB026A2B},,0.83378732373122,88391.1766738949
"33004",Bettola,9.60537884,44.77616157,"34121","34346","3",Sponde del fiume, , ,"0",,"0",0,"0","0","0",No,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"7010015",Chiavari,1999/07/20 00:00:00, ,Agg. Prec. 1952,G. Montrone,376.63220423,{E9433F40-B1A0-4C64-A0D9-A548A86C55EA},,375.69171696051,54596.5443129679
"33005",Bobbio,9.3866028,44.76640748,"20472","20344","2",Opere di difesa costiera-Opere miste, , ,"0",,"0",0,"0","0","0",No,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"7010046",Chiavari,1999/07/27 00:00:00, ,Agg. Prec. 1952,G. Montrone,32.54256461,{60C3085A-4669-4A0C-B74A-F9D3CEAADC6C},,32.4582445082705,46984.7829796098
"33006",Borgonovo Val Tidone,9.44685905,45.01803598,"28243","28125","3",Collegamento opera, , ,"0",,"0",0,"0","0","0",Si,Avanzamento,217.18,4164.94,24.18,"36","0",Nessuna,Nessuna,Non verificato, ,"7010046",Chiavari,1999/07/27 00:00:00, ,Agg. Prec. 1952,G. Montrone,0.9741918,{366E4CE5-9F83-4078-B14E-351281C5A53D},,0.971564726868604,75271.5747444289
"33007",Cadeo,9.85223652,44.96546213,"34121","34346","3",Sponde del fiume, , ,"0",,"0",0,"0","0","0",No,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"7010015",Chiavari,1999/07/20 00:00:00, ,Agg. Prec. 1952,G. Montrone,376.63220423,{E9433F40-B1A0-4C64-A0D9-A548A86C55EA},,375.69171696051,82119.565455922
"33008",Calendasco,9.59382034,45.08773797,"20472","20344","2",Opere di difesa costiera-Opere miste, , ,"0",,"0",0,"0","0","0",No,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"7010046",Chiavari,1999/07/27 00:00:00, ,Agg. Prec. 1952,G. Montrone,32.54256461,{60C3085A-4669-4A0C-B74A-F9D3CEAADC6C},,32.4582445082705,85929.78214401
"33009",Caminata,9.31032396,44.90967943,"2873","2829","1",Alta,Rocciosa, ,"0",,"0",0,"0","0","0",Si,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Ottima, ,"7010043",Nervi,1999/07/27 00:00:00, ,Agg. Prec. 1952,G. Montrone,962.58517602,{85FEEA57-94B4-4A01-AE88-7EE9C7F7E853},,959.957975030731,61006.9745316136
