istat,comune,lng,lat,join_OBJECTID_1,join_objectid,join_tipo_costa,join_descrizion,join_litologia,join_nome,join_id_interve,join_anno_costr,join_annodismis,join_dim_opera,join_dim_opera_,join_spaz_opera,join_dist_riva,join_flag_modif,join_modifica_o,join_lung_modif,join_area_modif,join_variaz_med,join_variaz_max,join_id_sistema,join_incongruen,join_incertezza,join_acc_geomet,join_annotazion,join_cod_istat,join_nome_uf,join_dataacqort,join_oraacqorto,join_data_igm,join_resp_digit,join_shape_leng,join_globalid,join_SHAPE__Length,join_Shape_Length,distance
"12001",Agra,8.77144627,46.03408765,"34009","33953","3",Sponde del fiume, , ,"0",,"0",0,"0","0","0",No,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"7010025",Genova,1999/11/09 00:00:00, ,Agg. Prec. 1952,G. Montrone,532.40049139,{5F31E3C1-1E99-4A83-8F71-CB833A9493C5},,530.787225632864,177051.815633028
"12002",Albizzate,8.80354799,45.72373624,"34009","33953","3",Sponde del fiume, , ,"0",,"0",0,"0","0","0",No,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"7010025",Genova,1999/11/09 00:00:00, ,Agg. Prec. 1952,G. Montrone,532.40049139,{5F31E3C1-1E99-4A83-8F71-CB833A9493C5},,530.787225632864,142622.668413072
"12003",Angera,8.57505473,45.77248072,"30264","30196","3",Collegamento sponde del fiume, , ,"0",,"0",0,"0","0","0",No,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"7010025",Varazze,1999/11/09 00:00:00, ,Agg. Prec. 1952,G. Montrone,25.28200524,{97113167-9924-4762-ABF5-DC2672A6D252},,25.2051509620287,148622.72857735
"12004",Arcisate,8.85979602,45.85936588,"30262","30194","3",Collegamento sponde del fiume, , ,"0",,"0",0,"0","0","0",No,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"7010025",Genova,1999/11/09 00:00:00, ,Agg. Prec. 1952,G. Montrone,29.70953873,{3BD6FEF5-F9E0-494C-8A31-983AE061EFDB},,29.6194297817173,157862.453685328
"12005",Arsago Seprio,8.73102942,45.68799132,"34009","33953","3",Sponde del fiume, , ,"0",,"0",0,"0","0","0",No,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"7010025",Genova,1999/11/09 00:00:00, ,Agg. Prec. 1952,G. Montrone,532.40049139,{5F31E3C1-1E99-4A83-8F71-CB833A9493C5},,530.787225632864,138600.850671038
"12006",Azzate,8.79686119,45.78197525,"34009","33953","3",Sponde del fiume, , ,"0",,"0",0,"0","0","0",No,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"7010025",Genova,1999/11/09 00:00:00, ,Agg. Prec. 1952,G. Montrone,532.40049139,{5F31E3C1-1E99-4A83-8F71-CB833A9493C5},,530.787225632864,149076.909221898
"12007",Azzio,8.70629682,45.88536153,"34009","33953","3",Sponde del fiume, , ,"0",,"0",0,"0","0","0",No,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"7010025",Genova,1999/11/09 00:00:00, ,Agg. Prec. 1952,G. Montrone,532.40049139,{5F31E3C1-1E99-4A83-8F71-CB833A9493C5},,530.787225632864,160559.015528554
"12008",Barasso,8.75810385,45.84046799,"34009","33953","3",Sponde del fiume, , ,"0",,"0",0,"0","0","0",No,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"7010025",Genova,1999/11/09 00:00:00, ,Agg. Prec. 1952,G. Montrone,532.40049139,{5F31E3C1-1E99-4A83-8F71-CB833A9493C5},,530.787225632864,155533.307738749
"12009",Bardello,8.6982499,45.8350432,"34009","33953","3",Sponde del fiume, , ,"0",,"0",0,"0","0","0",No,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"7010025",Genova,1999/11/09 00:00:00, ,Agg. Prec. 1952,G. Montrone,532.40049139,{5F31E3C1-1E99-4A83-8F71-CB833A9493C5},,530.787225632864,154985.54170553
"12010",Bedero Valcuvia,8.79441299,45.91263579,"34009","33953","3",Sponde del fiume, , ,"0",,"0",0,"0","0","0",No,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"7010025",Genova,1999/11/09 00:00:00, ,Agg. Prec. 1952,G. Montrone,532.40049139,{5F31E3C1-1E99-4A83-8F71-CB833A9493C5},,530.787225632864,163585.805360773
"12011",Besano,8.88994859,45.88923148,"30261","30193","3",Collegamento sponde del fiume, , ,"0",,"0",0,"0","0","0",No,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"7010025",Genova,1999/11/09 00:00:00, ,Agg. Prec. 1952,G. Montrone,47.17820306,{09799A88-40E5-40BC-AAAB-E64BDFF59D26},,47.0383769914515,161304.929945848
"12012",Besnate,8.76940011,45.70035494,"34009","33953","3",Sponde del fiume, , ,"0",,"0",0,"0","0","0",No,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"7010025",Genova,1999/11/09 00:00:00, ,Agg. Prec. 1952,G. Montrone,532.40049139,{5F31E3C1-1E99-4A83-8F71-CB833A9493C5},,530.787225632864,139972.746225374
"12013",Besozzo,8.66515456,45.85161622,"34009","33953","3",Sponde del fiume, , ,"0",,"0",0,"0","0","0",No,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"7010025",Genova,1999/11/09 00:00:00, ,Agg. Prec. 1952,G. Montrone,532.40049139,{5F31E3C1-1E99-4A83-8F71-CB833A9493C5},,530.787225632864,156916.808898909
"12014",Biandronno,8.71232632,45.81939412,"34009","33953","3",Sponde del fiume, , ,"0",,"0",0,"0","0","0",No,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"7010025",Genova,1999/11/09 00:00:00, ,Agg. Prec. 1952,G. Montrone,532.40049139,{5F31E3C1-1E99-4A83-8F71-CB833A9493C5},,530.787225632864,153221.44015878
"12015",Bisuschio,8.87035829,45.8724144,"30262","30194","3",Collegamento sponde del fiume, , ,"0",,"0",0,"0","0","0",No,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"7010025",Genova,1999/11/09 00:00:00, ,Agg. Prec. 1952,G. Montrone,29.70953873,{3BD6FEF5-F9E0-494C-8A31-983AE061EFDB},,29.6194297817173,159356.277985148
"12016",Bodio Lomnago,8.75143295,45.78988982,"34009","33953","3",Sponde del fiume, , ,"0",,"0",0,"0","0","0",No,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"7010025",Genova,1999/11/09 00:00:00, ,Agg. Prec. 1952,G. Montrone,532.40049139,{5F31E3C1-1E99-4A83-8F71-CB833A9493C5},,530.787225632864,149912.933770454
"12017",Brebbia,8.64986902,45.82856738,"34009","33953","3",Sponde del fiume, , ,"0",,"0",0,"0","0","0",No,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"7010025",Genova,1999/11/09 00:00:00, ,Agg. Prec. 1952,G. Montrone,532.40049139,{5F31E3C1-1E99-4A83-8F71-CB833A9493C5},,530.787225632864,154415.799073903
"12018",Bregano,8.69246682,45.82367289,"34009","33953","3",Sponde del fiume, , ,"0",,"0",0,"0","0","0",No,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"7010025",Genova,1999/11/09 00:00:00, ,Agg. Prec. 1952,G. Montrone,532.40049139,{5F31E3C1-1E99-4A83-8F71-CB833A9493C5},,530.787225632864,153735.708597395
"12019",Brenta,8.68415016,45.89520908,"34009","33953","3",Sponde del fiume, , ,"0",,"0",0,"0","0","0",No,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"7010025",Genova,1999/11/09 00:00:00, ,Agg. Prec. 1952,G. Montrone,532.40049139,{5F31E3C1-1E99-4A83-8F71-CB833A9493C5},,530.787225632864,161700.210209683
