istat,comune,lng,lat,join_OBJECTID_1,join_objectid,join_tipo_costa,join_descrizion,join_litologia,join_nome,join_id_interve,join_anno_costr,join_annodismis,join_dim_opera,join_dim_opera_,join_spaz_opera,join_dist_riva,join_flag_modif,join_modifica_o,join_lung_modif,join_area_modif,join_variaz_med,join_variaz_max,join_id_sistema,join_incongruen,join_incertezza,join_acc_geomet,join_annotazion,join_cod_istat,join_nome_uf,join_dataacqort,join_oraacqorto,join_data_igm,join_resp_digit,join_shape_leng,join_globalid,join_SHAPE__Length,join_Shape_Length,distance
"70001",Acquaviva Collecroce,14.74673587,41.86790077,"34773","34662","3",Sponde del fiume, , ,"0",,"0",0,"0","0","0",No,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"14070051",Vasto,1999/09/30 00:00:00, ,"1956",V. Proto,199.20443938,{A58322F3-C4AC-4F2F-AB9E-34A6CF04DD6C},,199.779595221988,19735.7135256217
"70002",Baranello,14.56051884,41.52681952,"8882","8776","1",Bassa,Sabbiosa, ,"0",,"0",0,"0","0","0",Si,Avanzamento,2807.55,105832.72,42.7,"84","0",Nessuna,Nessuna,Non verificato, ,"14070051",Vasto,1999/09/30 00:00:00, ,"1956",V. Proto,2684.79686666,{9E22854A-C274-421A-A0E5-2772FCFC2C82},,2692.58457409943,60728.1698650938
"70003",Bojano,14.47143659,41.48282294,"34655","34690","3",Sponde del fiume, , ,"0",,"0",0,"0","0","0",No,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"15061088",Castel Volturno,1998/05/08 00:00:00, ,"1957",G. Spagone,981.68611179,{56B980E2-4D8E-4DE8-988A-03E74781A4D3},,983.569860790318,62620.5665248508
"70004",Bonefro,14.93419633,41.70269449,"18753","18646","2",Opere Portuali, , ,"0",,"0",0,"0","0","0",No,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"14070010",Lesina e Varano,1999/05/25 00:00:00, ,"1957",V. Proto,1857.46352813,{16D8D232-88EE-42EB-8D07-15C02B32692B},,1863.25787769341,28258.7091243763
"70005",Busso,14.5621033,41.55478706,"34773","34662","3",Sponde del fiume, , ,"0",,"0",0,"0","0","0",No,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"14070051",Vasto,1999/09/30 00:00:00, ,"1956",V. Proto,199.20443938,{A58322F3-C4AC-4F2F-AB9E-34A6CF04DD6C},,199.779595221988,57844.2983045369
"70006",Campobasso,14.65916084,41.55774753,"18753","18646","2",Opere Portuali, , ,"0",,"0",0,"0","0","0",No,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"14070010",Lesina e Varano,1999/05/25 00:00:00, ,"1957",V. Proto,1857.46352813,{16D8D232-88EE-42EB-8D07-15C02B32692B},,1863.25787769341,54062.4780942995
"70007",Campochiaro,14.50564133,41.44869752,"34655","34690","3",Sponde del fiume, , ,"0",,"0",0,"0","0","0",No,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"15061088",Castel Volturno,1998/05/08 00:00:00, ,"1957",G. Spagone,981.68611179,{56B980E2-4D8E-4DE8-988A-03E74781A4D3},,983.569860790318,63035.1075728672
"70008",Campodipietra,14.74692986,41.55759354,"18753","18646","2",Opere Portuali, , ,"0",,"0",0,"0","0","0",No,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"14070010",Lesina e Varano,1999/05/25 00:00:00, ,"1957",V. Proto,1857.46352813,{16D8D232-88EE-42EB-8D07-15C02B32692B},,1863.25787769341,49855.7347359854
"70009",Campolieto,14.76695123,41.63517218,"18753","18646","2",Opere Portuali, , ,"0",,"0",0,"0","0","0",No,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"14070010",Lesina e Varano,1999/05/25 00:00:00, ,"1957",V. Proto,1857.46352813,{16D8D232-88EE-42EB-8D07-15C02B32692B},,1863.25787769341,41751.6497946455
"70010",Campomarino,15.03585859,41.95270988,"9146","8966","1",Bassa,Sabbiosa, ,"0",,"0",0,"0","0","0",Si,Erosione,3271.8,492451.07,155.51,"312","0",Nessuna,Nessuna,Non verificato, ,"14070010",Lesina e Varano,1998/08/12 00:00:00, ,"1957",V. Proto,3148.26236516,{EC3720AA-D221-44AE-9541-657B21D6FEA1},,3157.97829237533,829.695986155629
"70011",Casacalenda,14.84713322,41.73955595,"18753","18646","2",Opere Portuali, , ,"0",,"0",0,"0","0","0",No,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"14070010",Lesina e Varano,1999/05/25 00:00:00, ,"1957",V. Proto,1857.46352813,{16D8D232-88EE-42EB-8D07-15C02B32692B},,1863.25787769341,28448.8128404752
"70012",Casalciprano,14.52872488,41.58167453,"34773","34662","3",Sponde del fiume, , ,"0",,"0",0,"0","0","0",No,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"14070051",Vasto,1999/09/30 00:00:00, ,"1956",V. Proto,199.20443938,{A58322F3-C4AC-4F2F-AB9E-34A6CF04DD6C},,199.779595221988,56353.2397602668
"70013",Castelbottaccio,14.70710867,41.75296874,"8882","8776","1",Bassa,Sabbiosa, ,"0",,"0",0,"0","0","0",Si,Avanzamento,2807.55,105832.72,42.7,"84","0",Nessuna,Nessuna,Non verificato, ,"14070051",Vasto,1999/09/30 00:00:00, ,"1956",V. Proto,2684.79686666,{9E22854A-C274-421A-A0E5-2772FCFC2C82},,2692.58457409943,32747.5079916492
