istat,comune,lng,lat,join_OBJECTID_1,join_objectid,join_tipo_costa,join_descrizion,join_litologia,join_nome,join_id_interve,join_anno_costr,join_annodismis,join_dim_opera,join_dim_opera_,join_spaz_opera,join_dist_riva,join_flag_modif,join_modifica_o,join_lung_modif,join_area_modif,join_variaz_med,join_variaz_max,join_id_sistema,join_incongruen,join_incertezza,join_acc_geomet,join_annotazion,join_cod_istat,join_nome_uf,join_dataacqort,join_oraacqorto,join_data_igm,join_resp_digit,join_shape_leng,join_globalid,join_SHAPE__Length,join_Shape_Length,distance
"90001",Aggius,9.06392097,40.92880745,"7269","7044","1",Bassa,Rocciosa, ,"0",,"0",0,"0","0","0",Si,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Ottima, ,"20090074",Costa Paradiso,1998/07/31 00:00:00, ,"1958",R. Viola,729.76714183,{01EB6EB6-BC9E-498A-95A2-C99E8DDB6C89},,727.436500021946,15803.4023939817
"90002",Alà dei Sardi,9.32917825,40.65069405,"19672","19587","2",Opere Portuali, , ,"0",,"0",0,"0","0","0",No,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"20090047",Olbia,1998/07/31 00:00:00, ,"1958",R. Viola,14157.0669917,{17B9E994-BBF2-4137-8249-D610FDF73259},,14120.1916576181,31488.0950718529
"90003",Alghero,8.32608134,40.54843552,"5822","5731","1",Bassa,Rocciosa, ,"0",,"0",0,"0","0","0",Si,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"20090003",Alghero,1998/07/27 00:00:00, ,"1958",R. Viola,20.7904786,{F118AFE4-DC96-44CB-8822-D4D9A2105F2C},,20.7095896319688,0
"90004",Anela,9.05666422,40.44354491,"33438","33340","3",Sponde del fiume, , ,"0",,"0",0,"0","0","0",No,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"20091013",Bosa,1998/05/12 00:00:00, ,"1958",R. Viola,412.42836781,{BDD2535F-3DAA-4322-B951-2BD128286995},,410.883561401166,50330.2108201526
"90005",Ardara,8.80926358,40.6238864,"34080","34033","3",Collegamento sponde del fiume, , ,"0",,"0",0,"0","0","0",No,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"20090069",Platamona,1998/07/27 00:00:00, ,"1958",M. Laurieri,7.96596749,{27E9756B-80E2-43EE-86C7-854258B36D4C},,7.93740000583922,29208.0541948997
"90006",Arzachena,9.38847706,41.07937642,"35225","35200","3",Sponde del fiume, , ,"0",,"0",0,"0","0","0",No,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"20090006",Arzachena,1998/07/31 00:00:00, ,"1958",R. Viola,1085.53014354,{80696285-64C5-4689-9CBA-87D28AE8709D},,1082.6427202668,3880.69048529678
"90007",Banari,8.69753059,40.57197633,"10245","10126","1",Bassa,Sabbiosa, ,"0",,"0",0,"0","0","0",Si,Erosione,988.37,16292.46,21.48,"48","0",Nessuna,Nessuna,Non verificato, ,"20090078",Punta Poglina,1998/07/27 00:00:00, ,"1958",R. Viola,960.21176502,{02F49266-E7C9-428A-BD08-819544F0DE27},,956.524286188637,27832.0093257504
"90008",Benetutti,9.16828273,40.45579466,"16936","16850","1",Bassa,Sabbiosa, ,"0",,"0",0,"0","0","0",Si,Stabilità,0,0,0,"0","0",Nessuna,Nessuna,Ottima, ,"20091017",Orosei,1998/05/12 00:00:00, ,"1959",R. Viola,857.57443699,{7C8DE7ED-C76B-49EE-9513-30A485A010E0},,855.408867976658,43123.6093327907
"90009",Berchidda,9.16400704,40.78635359,"19672","19587","2",Opere Portuali, , ,"0",,"0",0,"0","0","0",No,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"20090047",Olbia,1998/07/31 00:00:00, ,"1958",R. Viola,14157.0669917,{17B9E994-BBF2-4137-8249-D610FDF73259},,14120.1916576181,30091.3064503022
"90010",Bessude,8.72722075,40.5556799,"10245","10126","1",Bassa,Sabbiosa, ,"0",,"0",0,"0","0","0",Si,Erosione,988.37,16292.46,21.48,"48","0",Nessuna,Nessuna,Non verificato, ,"20090078",Punta Poglina,1998/07/27 00:00:00, ,"1958",R. Viola,960.21176502,{02F49266-E7C9-428A-BD08-819544F0DE27},,956.524286188637,29760.0831820089
