istat,comune,lng,lat,join_OBJECTID_1,join_objectid,join_tipo_costa,join_descrizion,join_litologia,join_nome,join_id_interve,join_anno_costr,join_annodismis,join_dim_opera,join_dim_opera_,join_spaz_opera,join_dist_riva,join_flag_modif,join_modifica_o,join_lung_modif,join_area_modif,join_variaz_med,join_variaz_max,join_id_sistema,join_incongruen,join_incertezza,join_acc_geomet,join_annotazion,join_cod_istat,join_nome_uf,join_dataacqort,join_oraacqorto,join_data_igm,join_resp_digit,join_shape_leng,join_globalid,join_SHAPE__Length,join_Shape_Length,distance
"45001",Aulla,9.96815494,44.20934409,"18732","18625","2",Opere Portuali, , ,"0",,"0",0,"0","0","0",No,Nessuna informazione,0,0,0,"0","0",IGM,Nessuna,Ottima, ,"7011015",La Spezia,1999/08/25 00:00:00, ,Agg. Prec. 1952,G. Montrone,24258.1818932,{C1CE1B03-C1AC-4515-8531-8FBADBA04EDE},,24209.0304981831,13424.8718078382
"45002",Bagnone,9.99442801,44.315389,"18732","18625","2",Opere Portuali, , ,"0",,"0",0,"0","0","0",No,Nessuna informazione,0,0,0,"0","0",IGM,Nessuna,Ottima, ,"7011015",La Spezia,1999/08/25 00:00:00, ,Agg. Prec. 1952,G. Montrone,24258.1818932,{C1CE1B03-C1AC-4515-8531-8FBADBA04EDE},,24209.0304981831,24501.9718204044
"45003",Carrara,10.09678309,44.07729932,"34495","34409","3",Sponde del fiume, , ,"0",,"0",0,"0","0","0",No,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"9045003",Viareggio,1999/08/25 00:00:00, ,Agg. Prec. 1952,G. Montrone,578.91870887,{AC1B2136-BBCF-4CB1-910C-63425B025016},,577.852500570654,4578.3086655874
"45004",Casola in Lunigiana,10.17571802,44.20117148,"32713","32648","3",Collegamento sponde del fiume, , ,"0",,"0",0,"0","0","0",No,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"9045003",Viareggio,1999/08/25 00:00:00, ,Agg. Prec. 1952,G. Montrone,10.99878236,{FD36C483-CBE8-49D1-95B3-3578ABC11C19},,10.9785621229403,19650.530505532
"45005",Comano,10.13487911,44.2972261,"32715","32650","3",Collegamento sponde del fiume, , ,"0",,"0",0,"0","0","0",No,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"9045003",Viareggio,1999/08/25 00:00:00, ,Agg. Prec. 1952,G. Montrone,4.66473281,{BE9B9E0E-74C3-477A-8FC5-8BB29EA1C0D8},,4.656032181501,28026.4504499372
"45006",Filattiera,9.93687773,44.33127853,"18732","18625","2",Opere Portuali, , ,"0",,"0",0,"0","0","0",No,Nessuna informazione,0,0,0,"0","0",IGM,Nessuna,Ottima, ,"7011015",La Spezia,1999/08/25 00:00:00, ,Agg. Prec. 1952,G. Montrone,24258.1818932,{C1CE1B03-C1AC-4515-8531-8FBADBA04EDE},,24209.0304981831,24495.6528612016
"45007",Fivizzano,10.1228326,44.23706089,"32715","32650","3",Collegamento sponde del fiume, , ,"0",,"0",0,"0","0","0",No,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"9045003",Viareggio,1999/08/25 00:00:00, ,Agg. Prec. 1952,G. Montrone,4.66473281,{BE9B9E0E-74C3-477A-8FC5-8BB29EA1C0D8},,4.656032181501,21407.4749944715
"45008",Fosdinovo,10.0190589,44.13438049,"9759","9563","1",Bassa,Sabbiosa, ,"0",,"0",0,"0","0","0",Si,Erosione,418.53,13818.42,38.02,"60","0",Nessuna,Nessuna,Non verificato, ,"7011027",Viareggio,1999/08/25 00:00:00, ,Agg. Prec. 1952,G. Montrone,256.03181937,{DC53C102-3DB6-4FF9-BE3A-B17BEC37FA75},,255.547660889636,8374.85173797086
"45009",Licciana Nardi,10.03853952,44.26498452,"18732","18625","2",Opere Portuali, , ,"0",,"0",0,"0","0","0",No,Nessuna informazione,0,0,0,"0","0",IGM,Nessuna,Ottima, ,"7011015",La Spezia,1999/08/25 00:00:00, ,Agg. Prec. 1952,G. Montrone,24258.1818932,{C1CE1B03-C1AC-4515-8531-8FBADBA04EDE},,24209.0304981831,21776.0664665177
"45010",Massa,10.14173829,44.03674425,"32717","32652","3",Collegamento sponde del fiume, , ,"0",,"0",0,"0","0","0",No,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"9045010",Viareggio,1999/08/25 00:00:00, ,Agg. Prec. 1952,G. Montrone,25.66893085,{B9413FA4-64A2-4B1B-A98F-E7B30122463D},,25.6229193108513,3257.59132402926
