istat,comune,lng,lat,join_OBJECTID_1,join_objectid,join_tipo_costa,join_descrizion,join_litologia,join_nome,join_id_interve,join_anno_costr,join_annodismis,join_dim_opera,join_dim_opera_,join_spaz_opera,join_dist_riva,join_flag_modif,join_modifica_o,join_lung_modif,join_area_modif,join_variaz_med,join_variaz_max,join_id_sistema,join_incongruen,join_incertezza,join_acc_geomet,join_annotazion,join_cod_istat,join_nome_uf,join_dataacqort,join_oraacqorto,join_data_igm,join_resp_digit,join_shape_leng,join_globalid,join_SHAPE__Length,join_Shape_Length,distance
"23001",Affi,10.77315447,45.55157835,"24157","24098","2",Opere di difesa costiera-Radente a muro, , ,false,,"0",2073.02305654,false,false,false,No,Nessuna informazione,0,0,0,"0",false,Nessuna,Descrizione,Ottima, ,"5027023",Laguna Veneta,1998/07/09 00:00:00, ,"1966",V. Angione,2072.68329225,{688DEF51-6C19-4FCC-A0AF-118379CD3665},,2073.02250207292,109934.44512944
"23002",Albaredo d'Adige,11.26758294,45.31738813,"3297","3277","1",Bassa, , ,false,,"0",0,false,false,false,No,Nessuna informazione,0,0,0,"0",false,Nessuna,Nessuna,Non verificato, ,"5028033",Laguna Veneta,1998/07/09 00:00:00, ,"1963",V. Angione,6626.86326638,{E6684AF2-5D34-4461-9EAA-8F94C9CBB41E},,6627.80250212034,68447.3290930972
"23003",Angiari,11.28372239,45.21802033,"3297","3277","1",Bassa, , ,false,,"0",0,false,false,false,No,Nessuna informazione,0,0,0,"0",false,Nessuna,Nessuna,Non verificato, ,"5028033",Laguna Veneta,1998/07/09 00:00:00, ,"1963",V. Angione,6626.86326638,{E6684AF2-5D34-4461-9EAA-8F94C9CBB41E},,6627.80250212034,67422.5159337012
"23004",Arcole,11.28695082,45.35768001,"24155","24096","2",Opere di difesa costiera-Radente a muro, , ,false,,"0",2249.41891376,false,false,false,No,Nessuna informazione,0,0,0,"0",false,Nessuna,Descrizione,Ottima, ,"5027002",Laguna Veneta,1998/07/09 00:00:00, ,"1963",V. Angione,2249.09980224,{73D8730E-9B57-4190-85EC-32C49953DE2D},,2249.41942875517,67190.9476638632
"23005",Badia Calavena,11.156357,45.56389465,"24157","24098","2",Opere di difesa costiera-Radente a muro, , ,false,,"0",2073.02305654,false,false,false,No,Nessuna informazione,0,0,0,"0",false,Nessuna,Descrizione,Ottima, ,"5027023",Laguna Veneta,1998/07/09 00:00:00, ,"1966",V. Angione,2072.68329225,{688DEF51-6C19-4FCC-A0AF-118379CD3665},,2073.02250207292,80858.2242998805
"23006",Bardolino,10.71966767,45.54709416,"24157","24098","2",Opere di difesa costiera-Radente a muro, , ,false,,"0",2073.02305654,false,false,false,No,Nessuna informazione,0,0,0,"0",false,Nessuna,Descrizione,Ottima, ,"5027023",Laguna Veneta,1998/07/09 00:00:00, ,"1966",V. Angione,2072.68329225,{688DEF51-6C19-4FCC-A0AF-118379CD3665},,2073.02250207292,113985.578840356
"23007",Belfiore,11.20842171,45.38036769,"24155","24096","2",Opere di difesa costiera-Radente a muro, , ,false,,"0",2249.41891376,false,false,false,No,Nessuna informazione,0,0,0,"0",false,Nessuna,Descrizione,Ottima, ,"5027002",Laguna Veneta,1998/07/09 00:00:00, ,"1963",V. Angione,2249.09980224,{73D8730E-9B57-4190-85EC-32C49953DE2D},,2249.41942875517,73547.7771671389
"23008",Bevilacqua,11.39819298,45.23344659,"3297","3277","1",Bassa, , ,false,,"0",0,false,false,false,No,Nessuna informazione,0,0,0,"0",false,Nessuna,Nessuna,Non verificato, ,"5028033",Laguna Veneta,1998/07/09 00:00:00, ,"1963",V. Angione,6626.86326638,{E6684AF2-5D34-4461-9EAA-8F94C9CBB41E},,6627.80250212034,58324.244494097
"23009",Bonavigo,11.27970781,45.25754447,"3297","3277","1",Bassa, , ,false,,"0",0,false,false,false,No,Nessuna informazione,0,0,0,"0",false,Nessuna,Nessuna,Non verificato, ,"5028033",Laguna Veneta,1998/07/09 00:00:00, ,"1963",V. Angione,6626.86326638,{E6684AF2-5D34-4461-9EAA-8F94C9CBB41E},,6627.80250212034,67493.8136935879
"23010",Boschi Sant'Anna,11.35793023,45.21945717,"3297","3277","1",Bassa, , ,false,,"0",0,false,false,false,No,Nessuna informazione,0,0,0,"0",false,Nessuna,Nessuna,Non verificato, ,"5028033",Laguna Veneta,1998/07/09 00:00:00, ,"1963",V. Angione,6626.86326638,{E6684AF2-5D34-4461-9EAA-8F94C9CBB41E},,6627.80250212034,61603.1084372927
